seed,n,tem,per
0,10,2688,1232
1,10,2256,1232
2,10,2688,1232
3,10,2832,1232
4,10,2256,1232
5,10,2544,1232
6,10,2472,1232
7,10,2544,1232
8,10,2472,1232
9,10,2256,1232
10,10,2256,1232
11,10,2544,1232
12,10,2328,1232
13,10,2184,1232
14,10,2544,1232
15,10,2184,1232
16,10,2184,1232
17,10,2328,1232
18,10,2688,1232
19,10,2256,1232
20,10,2616,1232
21,10,2400,1232
22,10,2328,1232
23,10,3048,1232
24,10,2904,1232
25,10,2472,1232
26,10,2832,1232
27,10,2760,1232
28,10,2400,1232
29,10,2760,1232
0,13,3672,1544
1,13,3384,1544
2,13,3600,1544
3,13,3456,1544
4,13,3024,1544
5,13,3744,1544
6,13,3312,1544
7,13,3960,1544
8,13,3888,1544
9,13,3456,1544
10,13,3240,1544
11,13,3744,1544
12,13,3384,1544
13,13,3384,1544
14,13,3600,1544
15,13,4320,1544
16,13,3168,1544
17,13,3672,1544
18,13,3528,1544
19,13,3528,1544
20,13,3744,1544
21,13,3600,1544
22,13,3384,1544
23,13,3816,1544
24,13,3672,1544
25,13,3456,1544
26,13,5040,1544
27,13,3456,1544
28,13,3744,1544
29,13,4104,1544
0,17,5008,1976
1,17,5368,1976
2,17,5440,1976
3,17,4864,1976
4,17,4936,1976
5,17,4720,1976
6,17,6232,1976
7,17,6088,1976
8,17,4720,1976
9,17,4360,1976
10,17,5152,1976
11,17,6232,1976
12,17,5512,1976
13,17,4504,1976
14,17,5008,1976
15,17,5152,1976
16,17,5080,1976
17,17,5080,1976
18,17,5008,1976
19,17,5224,1976
20,17,5080,1976
21,17,4720,1976
22,17,4936,1976
23,17,5296,1976
24,17,5296,1976
25,17,5512,1976
26,17,5872,1976
27,17,4864,1976
28,17,5440,1976
29,17,6160,1976
0,23,7552,2696
1,23,8632,2696
2,23,8488,2696
3,23,7048,2696
4,23,7264,2696
5,23,7192,2696
6,23,8272,2696
7,23,9064,2696
8,23,7696,2696
9,23,8416,2696
10,23,7480,2696
11,23,8056,2696
12,23,7408,2696
13,23,7768,2696
14,23,8272,2696
15,23,7912,2696
16,23,8632,2696
17,23,6904,2696
18,23,11152,2696
19,23,7624,2696
20,23,7984,2696
21,23,7624,2696
22,23,9208,2696
23,23,7048,2696
24,23,8776,2696
25,23,7624,2696
26,23,7840,2696
27,23,7192,2696
28,23,9856,2696
29,23,7768,2696
0,30,10808,3536
1,30,10952,3536
2,30,13112,3536
3,30,11096,3536
4,30,11672,3536
5,30,9872,3536
6,30,11384,3536
7,30,12464,3536
8,30,11312,3536
9,30,10880,3536
10,30,9944,3536
11,30,12104,3536
12,30,11312,3536
13,30,11960,3536
14,30,11240,3536
15,30,11096,3536
16,30,10808,3536
17,30,11240,3536
18,30,12536,3536
19,30,10592,3536
20,30,10088,3536
21,30,12968,3536
22,30,11672,3536
23,30,9584,3536
24,30,12608,3536
25,30,10880,3536
26,30,10808,3536
27,30,9944,3536
28,30,13544,3536
29,30,10880,3536
0,39,15632,4616
1,39,14984,4616
2,39,17288,4616
3,39,14408,4616
4,39,14624,4616
5,39,15344,4616
6,39,14624,4616
7,39,16928,4616
8,39,16424,4616
9,39,14624,4616
10,39,14336,4616
11,39,15488,4616
12,39,16928,4616
13,39,16568,4616
14,39,17000,4616
15,39,14624,4616
16,39,14768,4616
17,39,18440,4616
18,39,16784,4616
19,39,15200,4616
20,39,13616,4616
21,39,15200,4616
22,39,15200,4616
23,39,15344,4616
24,39,15992,4616
25,39,16784,4616
26,39,14480,4616
27,39,13472,4616
28,39,18656,4616
29,39,14984,4616
0,51,21656,6056
1,51,20504,6056
2,51,22304,6056
3,51,20360,6056
4,51,20072,6056
5,51,22664,6056
6,51,21296,6056
7,51,22880,6056
8,51,21872,6056
9,51,21944,6056
10,51,22232,6056
11,51,21296,6056
12,51,22736,6056
13,51,23384,6056
14,51,28208,6056
15,51,21224,6056
16,51,20072,6056
17,51,22592,6056
18,51,22520,6056
19,51,22304,6056
20,51,24464,6056
21,51,21296,6056
22,51,22088,6056
23,51,24104,6056
24,51,22664,6056
25,51,21800,6056
26,51,22520,6056
27,51,19352,6056
28,51,24248,6056
29,51,23384,6056
0,67,32760,7976
1,67,29880,7976
2,67,32688,7976
3,67,29232,7976
4,67,29592,7976
5,67,30744,7976
6,67,36000,7976
7,67,30960,7976
8,67,30312,7976
9,67,31176,7976
10,67,28872,7976
11,67,31248,7976
12,67,31608,7976
13,67,40320,7976
14,67,33984,7976
15,67,29808,7976
16,67,30168,7976
17,67,30456,7976
18,67,30960,7976
19,67,32976,7976
20,67,33048,7976
21,67,31464,7976
22,67,32976,7976
23,67,32112,7976
24,67,31680,7976
25,67,29520,7976
26,67,33696,7976
27,67,31680,7976
28,67,37872,7976
29,67,32256,7976
0,88,49224,10496
1,88,42240,10496
2,88,43032,10496
3,88,39720,10496
4,88,42960,10496
5,88,44760,10496
6,88,54048,10496
7,88,46776,10496
8,88,44112,10496
9,88,43608,10496
10,88,43464,10496
11,88,41448,10496
12,88,41448,10496
13,88,47424,10496
14,88,41952,10496
15,88,43608,10496
16,88,40008,10496
17,88,42096,10496
18,88,41160,10496
19,88,50304,10496
20,88,52824,10496
21,88,44904,10496
22,88,40800,10496
23,88,45192,10496
24,88,41160,10496
25,88,42384,10496
26,88,42960,10496
27,88,46056,10496
28,88,44328,10496
29,88,49800,10496
0,115,67080,13736
1,115,62328,13736
2,115,57000,13736
3,115,57648,13736
4,115,58080,13736
5,115,59448,13736
6,115,71976,13736
7,115,61032,13736
8,115,68736,13736
9,115,59160,13736
10,115,58728,13736
11,115,60312,13736
12,115,55992,13736
13,115,65352,13736
14,115,58800,13736
15,115,59016,13736
16,115,61752,13736
17,115,58440,13736
18,115,57936,13736
19,115,71256,13736
20,115,78960,13736
21,115,64488,13736
22,115,55920,13736
23,115,66648,13736
24,115,54624,13736
25,115,63120,13736
26,115,63192,13736
27,115,64200,13736
28,115,59952,13736
29,115,70392,13736
0,150,91424,17936
1,150,84584,17936
2,150,85376,17936
3,150,79040,17936
4,150,85016,17936
5,150,113744,17936
6,150,87032,17936
7,150,93512,17936
8,150,84512,17936
9,150,80768,17936
10,150,85088,17936
11,150,83864,17936
12,150,81920,17936
13,150,105320,17936
14,150,81704,17936
15,150,81776,17936
16,150,90200,17936
17,150,86528,17936
18,150,90704,17936
19,150,108344,17936
20,150,84800,17936
21,150,93296,17936
22,150,85448,17936
23,150,87032,17936
24,150,84224,17936
25,150,86816,17936
26,150,88616,17936
27,150,97256,17936
28,150,87320,17936
29,150,89264,17936
0,195,131024,23336
1,195,116120,23336
2,195,114320,23336
3,195,124904,23336
4,195,117776,23336
5,195,139232,23336
6,195,130376,23336
7,195,124832,23336
8,195,120080,23336
9,195,117704,23336
10,195,121952,23336
11,195,111224,23336
12,195,121520,23336
13,195,151976,23336
14,195,123320,23336
15,195,119648,23336
16,195,109568,23336
17,195,121088,23336
18,195,123752,23336
19,195,129224,23336
20,195,121592,23336
21,195,120728,23336
22,195,123104,23336
23,195,114032,23336
24,195,139664,23336
25,195,117920,23336
26,195,112736,23336
27,195,122024,23336
28,195,112160,23336
29,195,119360,23336
0,254,177856,30416
1,254,167920,30416
2,254,158992,30416
3,254,165904,30416
4,254,167272,30416
5,254,182824,30416
6,254,168352,30416
7,254,167920,30416
8,254,172384,30416
9,254,150784,30416
10,254,160720,30416
11,254,157336,30416
12,254,154312,30416
13,254,181024,30416
14,254,156184,30416
15,254,187360,30416
16,254,145240,30416
17,254,157120,30416
18,254,163456,30416
19,254,175696,30416
20,254,178720,30416
21,254,158128,30416
22,254,161440,30416
23,254,153736,30416
24,254,169216,30416
25,254,172600,30416
26,254,146320,30416
27,254,162232,30416
28,254,173392,30416
29,254,176704,30416
0,331,219720,39656
1,331,234048,39656
2,331,213456,39656
3,331,294528,39656
4,331,236496,39656
5,331,226056,39656
6,331,233112,39656
7,331,225192,39656
8,331,224328,39656
9,331,214392,39656
10,331,240384,39656
11,331,219864,39656
12,331,220584,39656
13,331,218712,39656
14,331,224544,39656
15,331,236856,39656
16,331,222744,39656
17,331,275448,39656
18,331,225624,39656
19,331,221448,39656
20,331,206976,39656
21,331,226776,39656
22,331,244560,39656
23,331,216120,39656
24,331,226776,39656
25,331,233616,39656
26,331,216912,39656
27,331,218424,39656
28,331,293016,39656
29,331,223968,39656
0,431,301504,51656
1,431,351760,51656
2,431,313600,51656
3,431,356368,51656
4,431,310720,51656
5,431,313024,51656
6,431,302008,51656
7,431,310360,51656
8,431,317416,51656
9,431,293944,51656
10,431,372136,51656
11,431,307768,51656
12,431,303592,51656
13,431,298192,51656
14,431,302584,51656
15,431,319792,51656
16,431,299704,51656
17,431,388768,51656
18,431,300784,51656
19,431,298264,51656
20,431,281848,51656
21,431,316912,51656
22,431,346720,51656
23,431,317056,51656
24,431,326920,51656
25,431,330952,51656
26,431,318640,51656
27,431,311872,51656
28,431,358528,51656
29,431,302656,51656
0,561,413072,67256
1,561,466496,67256
2,561,438488,67256
3,561,423440,67256
4,561,456560,67256
5,561,440288,67256
6,561,440000,67256
7,561,426896,67256
8,561,437624,67256
9,561,403640,67256
10,561,492344,67256
11,561,423800,67256
12,561,430136,67256
13,561,404504,67256
14,561,425240,67256
15,561,423440,67256
16,561,460592,67256
17,561,442736,67256
18,561,412712,67256
19,561,412352,67256
20,561,402488,67256
21,561,401840,67256
22,561,448856,67256
23,561,434960,67256
24,561,443888,67256
25,561,487808,67256
26,561,399464,67256
27,561,464480,67256
28,561,451160,67256
29,561,442448,67256
0,730,565512,87536
1,730,606984,87536
2,730,583656,87536
3,730,569688,87536
4,730,635784,87536
5,730,689280,87536
6,730,622320,87536
7,730,590784,87536
8,730,557736,87536
9,730,608352,87536
10,730,618360,87536
11,730,563352,87536
12,730,594096,87536
13,730,549168,87536
14,730,553704,87536
15,730,558312,87536
16,730,656880,87536
17,730,575376,87536
18,730,605904,87536
19,730,570336,87536
20,730,587256,87536
21,730,549096,87536
22,730,607344,87536
23,730,593448,87536
24,730,586536,87536
25,730,612888,87536
26,730,547728,87536
27,730,626568,87536
28,730,612744,87536
29,730,585816,87536
0,949,834408,113816
1,949,798048,113816
2,949,800568,113816
3,949,799560,113816
4,949,814536,113816
5,949,862344,113816
6,949,797760,113816
7,949,798192,113816
8,949,798336,113816
9,949,773424,113816
10,949,882936,113816
11,949,777528,113816
12,949,792864,113816
13,949,752256,113816
14,949,773424,113816
15,949,762624,113816
16,949,825048,113816
17,949,802440,113816
18,949,815544,113816
19,949,754560,113816
20,949,785520,113816
21,949,788112,113816
22,949,826272,113816
23,949,768960,113816
24,949,831960,113816
25,949,819360,113816
26,949,763704,113816
27,949,849456,113816
28,949,906768,113816
29,949,812448,113816
0,1234,1152456,148016
1,1234,1079376,148016
2,1234,1092912,148016
3,1234,1059360,148016
4,1234,1073544,148016
5,1234,1050648,148016
6,1234,1006800,148016
7,1234,1092264,148016
8,1234,1108536,148016
9,1234,1025880,148016
10,1234,1143528,148016
11,1234,1054824,148016
12,1234,1117680,148016
13,1234,1111200,148016
14,1234,1104288,148016
15,1234,1024584,148016
16,1234,1109544,148016
17,1234,1078728,148016
18,1234,1118688,148016
19,1234,1049784,148016
20,1234,1041720,148016
21,1234,1045392,148016
22,1234,1139712,148016
23,1234,1068432,148016
24,1234,1213080,148016
25,1234,1055544,148016
26,1234,1063032,148016
27,1234,1088952,148016
28,1234,1091112,148016
29,1234,1157424,148016
